nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay
model_resnet-17_8_cycle.pt,resnet,72,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_9_cycle.pt,resnet,63,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001

model_resnet-18_1_cycle.pt,resnet,54,4839.92,20,2,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-18_2_cycle.pt,resnet,55,4839.92,20,2,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-18_3_cycle.pt,resnet,67,4839.92,20,2,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-18_4_cycle.pt,resnet,78,4839.92,20,2,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001

model_resnet-19_1_cycle.pt,resnet,75.5,5092.5,20,2,200,4,1.25,1.0,0.25,0.03,3e-05,0.0001
model_resnet-19_2_cycle.pt,resnet,75.5,5092.5,20,2,200,4,1.25,1.0,0.25,0.03,3e-05,0.0001
